Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,13,2,Some Random Commen with Id 0
1,0,9,43,7,Some Random Commen with Id 1
2,0,9,197,0,Some Random Commen with Id 2
3,0,9,161,8,Some Random Commen with Id 3
4,0,9,0,2,Some Random Commen with Id 4
5,0,9,135,6,Some Random Commen with Id 5
6,0,9,79,7,Some Random Commen with Id 6
7,0,9,98,7,Some Random Commen with Id 7
8,0,9,34,7,Some Random Commen with Id 8
9,1,2,99,4,Some Random Commen with Id 9
10,1,2,40,6,Some Random Commen with Id 10
11,1,2,196,0,Some Random Commen with Id 11
12,1,2,100,9,Some Random Commen with Id 12
13,1,2,137,9,Some Random Commen with Id 13
14,2,6,120,8,Some Random Commen with Id 14
15,2,6,171,2,Some Random Commen with Id 15
16,2,6,101,4,Some Random Commen with Id 16
17,2,6,66,8,Some Random Commen with Id 17
18,2,6,74,8,Some Random Commen with Id 18
19,2,6,102,0,Some Random Commen with Id 19
20,2,6,156,3,Some Random Commen with Id 20
21,2,6,4,9,Some Random Commen with Id 21
22,3,6,65,2,Some Random Commen with Id 22
23,3,6,68,8,Some Random Commen with Id 23
24,3,6,149,5,Some Random Commen with Id 24
25,3,6,123,6,Some Random Commen with Id 25
26,3,6,186,6,Some Random Commen with Id 26
27,4,0,12,1,Some Random Commen with Id 27
28,4,0,36,6,Some Random Commen with Id 28
29,4,0,19,2,Some Random Commen with Id 29
30,4,0,74,3,Some Random Commen with Id 30
31,4,0,107,8,Some Random Commen with Id 31
32,4,0,87,7,Some Random Commen with Id 32
33,4,0,149,9,Some Random Commen with Id 33
34,5,5,150,4,Some Random Commen with Id 34
35,5,5,146,8,Some Random Commen with Id 35
36,5,5,37,0,Some Random Commen with Id 36
37,5,5,142,7,Some Random Commen with Id 37
38,5,5,194,2,Some Random Commen with Id 38
39,6,2,98,1,Some Random Commen with Id 39
40,7,8,159,9,Some Random Commen with Id 40
41,7,8,5,8,Some Random Commen with Id 41
42,7,8,108,9,Some Random Commen with Id 42
43,7,8,129,6,Some Random Commen with Id 43
44,7,8,166,1,Some Random Commen with Id 44
45,7,8,170,7,Some Random Commen with Id 45
46,7,8,78,6,Some Random Commen with Id 46
47,8,5,68,2,Some Random Commen with Id 47
48,8,5,179,4,Some Random Commen with Id 48
49,8,5,53,3,Some Random Commen with Id 49
50,8,5,115,5,Some Random Commen with Id 50
51,8,5,45,9,Some Random Commen with Id 51
52,8,5,2,0,Some Random Commen with Id 52
53,8,5,39,0,Some Random Commen with Id 53
54,8,5,53,4,Some Random Commen with Id 54
55,8,5,160,3,Some Random Commen with Id 55
56,9,5,20,4,Some Random Commen with Id 56
57,9,5,62,1,Some Random Commen with Id 57
58,9,5,169,8,Some Random Commen with Id 58
59,9,5,39,3,Some Random Commen with Id 59
60,9,5,160,2,Some Random Commen with Id 60
61,9,5,82,8,Some Random Commen with Id 61
62,9,5,2,6,Some Random Commen with Id 62
63,10,8,70,6,Some Random Commen with Id 63
64,10,8,120,7,Some Random Commen with Id 64
65,10,8,176,1,Some Random Commen with Id 65
66,10,8,82,0,Some Random Commen with Id 66
67,10,8,150,2,Some Random Commen with Id 67
68,10,8,91,8,Some Random Commen with Id 68
69,10,8,180,6,Some Random Commen with Id 69
70,11,9,87,9,Some Random Commen with Id 70
71,12,4,126,5,Some Random Commen with Id 71
